sku;name;stock;cost_price;price;min_stock
15W40;OLEO 15W40 SEMISINTETICO - FALUB (REF 15W40);72;19,49;19,49;0
5W30;OLEO 5W30 SINTÉTICO - FALUB (REF 5W30);72;22,13;22,13;0
WO340;FILTRO DE OLEO VW GOL (G2/G3/G4/G5/G6/FOX/VOYAGE/SAVEIRO/POLO 1.0/1.6 8V) - WEGA (REF PSL560);10;11,85;11,85;0
WO120;FILTRO DE OLEO FIAT MOTOR FIRE TDS / HONDA CITY/CIVIC (WO120/PSL55) - WEGA (REF PSL55);10;10,95;10,95;0
FAP2214;FILTRO DE AR DO MOTOR GOL G3 A G6 / FOX 1.0 8V (FAP2214) - WEGA (REF ARL6096);10;13,50;13,50;0
KL582;FILTRO DE COMBUSTIVEL FIAT FIRE TODOS (PALIO/SIENA/STRADA/UNO/ARGO) + GM CORSA/CELTA + VW - MAHLE (REF GI04/7);10;11,25;11,25;0
N09994;BUCHA DA BANDEJA VW GOL (G1/G4/PARATI/SAVEIRO/VOYAGE/SANTANA 83/..) - NAKATA (REF MB324);12;9,39;9,39;0
JSR_VW_10BM;JUNTA SUPERIOR C/ RETENTOR (JG) VW FLEX/GASOLINA 1.0L 8V L4 (GOL/FOX 02-20) - TAKAO (REF JSR VW 10BM);1;143,61;143,61;0
JSR_VW_16G;JUNTA SUPERIOR C/ RETENTOR (JG) VW 1.4/1.6L 8V (MI/FOX/GOL G5/GOLF/POLO/KOMBI/SAVEIRO/VOYAGE) - TAKAO (REF JSR VW 16G);1;117,00;117,00;0
20W50;OLEO 20W50 MINERAL - FALUB (REF 20W50);24;16,73;16,73;0
10168;BOMBA DE OLEO VW (GOL/FOX/GOLF/SAVEIRO/VOYAGE/SPACEFOX/POLO/PARATI) - SCHADEK (REF 10168);1;153,00;153,00;0
0890324086;SILICONE NEUTRO ALTA TEMPERATURA PRETA 85G (RESISTE ATÉ 343°C) - WURTH (REF 0890324086);5;24,17;24,17;0
CAR80CONTATO;SPRAY LIMPA CONTATOS ELÉTRICOS 300ML - CAR80 (REF CAR80CONTATO);5;15,00;15,00;0
RR4005-1;KIT AMORTECEDOR TRAS. VW GOL (G2/G3/G4/G5/G6/PARATI/SAVEIRO/VOYAGE/SANTANA 00/..) - SD COIFAS AUTOMOTIVAS (REF MB4057S);5;13,29;13,29;0
15543;KIT AMORTECEDOR DIANT. VW GOL (G3/G4/G5/G6/PARATI/SAVEIRO 98/..) - RR IMPERIO (REF RR4004-1);4;14,25;14,25;0
MB4029S;KIT AMORTECEDOR DIANT. VW GOL (G3/G4/PARATI/SAVEIRO 01-09) C/ COXIM COMPLETO - MOBENSANI (REF MB4029S);4;60,00;60,00;0
6Q0411314R;BUCHA BARRA ESTABILIZADORA VW (GOL/FOX/POLO/SAV/SPA/VOY 1.0 G5 03/..) DIANT. 18MM - VOLKSWAGEN (REF 6Q0411314R);12;12,00;12,00;0
